date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:41	27785/27785	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jun%202015%2018:42:12%20GMT	http://www.xpertpoin8.com/demo/restaurant/	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/index.html	(from )
16:13:41	61/61	---MCZ	200	added ('OK')	text/plain	date:Fri,%2018%20Dec%202015%2015:13:40%20GMT	http://www.xpertpoin8.com/robots.txt		(from )
16:13:41	20783/20783	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2005:46:51%20GMT	http://www.xpertpoin8.com/demo/restaurant/css/font-awesome.min.css	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/css/font-awesome.min.css	(from http://www.xpertpoin8.com/demo/restaurant/)
16:13:42	24127/24127	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2005:46:48%20GMT	http://www.xpertpoin8.com/demo/restaurant/css/bootstrap.min.css	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/css/bootstrap.min.css	(from http://www.xpertpoin8.com/demo/restaurant/)
16:13:42	1476/1476	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2005:46:52%20GMT	http://www.xpertpoin8.com/demo/restaurant/css/owl.carousel.css	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/css/owl.carousel.css	(from http://www.xpertpoin8.com/demo/restaurant/)
16:13:42	1663/1663	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2005:46:53%20GMT	http://www.xpertpoin8.com/demo/restaurant/css/owl.theme.css	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/css/owl.theme.css	(from http://www.xpertpoin8.com/demo/restaurant/)
16:13:42	44852/44852	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2005:46:46%20GMT	http://www.xpertpoin8.com/demo/restaurant/css/animate.min.css	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/css/animate.min.css	(from http://www.xpertpoin8.com/demo/restaurant/)
16:13:42	26538/26538	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2005:46:56%20GMT	http://www.xpertpoin8.com/demo/restaurant/css/style.css	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/css/style.css	(from http://www.xpertpoin8.com/demo/restaurant/)
16:13:43	1818/1818	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Jun%202015%2005:47:56%20GMT	http://www.xpertpoin8.com/demo/restaurant/icons/flaticon.css	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/icons/flaticon.css	(from http://www.xpertpoin8.com/demo/restaurant/)
16:13:43	0/0	---M--	200	added ('OK')	image/x-icon	date:Mon,%2024%20Sep%202012%2001:13:21%20GMT	http://www.xpertpoin8.com/demo/restaurant/images/favicon.ico	C:/Users/Houssam/Desktop/Projet_mkdeal/template1/www.xpertpoin8.com/demo/restaurant/images/favicon.ico	(from http://www.xpertpoin8.com/demo/restaurant/)
